# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.02),Noisy fluxes C (sigma=0.03),Noisy fluxes D (sigma=0.05),Noisy fluxes E (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.02) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes E (sigma=0.07) with outliers (sigma=0.3)
9.827663671373555,1.06527385248872,1.058279460005223,1.058039743046021,1.050275225094593,1.065789476729191,1.152328429402892,1.058279460005223,1.058039743046021,1.050275225094593,1.065789476729191,1.152328429402892,1.058279460005223,1.058039743046021,1.050275225094593,1.065789476729191,1.152328429402892
9.831142490372272,1.065765471805801,1.0580645329553,1.070946334624735,1.051028580734077,1.060825234288961,1.102299251668829,1.0580645329553,1.070946334624735,1.051028580734077,1.060825234288961,1.102299251668829,1.0580645329553,1.070946334624735,1.051028580734077,1.060825234288961,1.102299251668829
9.834621309370988,1.066181402208617,1.069635525333773,1.099036410509785,1.051119328631447,1.057767237347933,1.042889501419971,1.069635525333773,1.099036410509785,1.051119328631447,1.057767237347933,1.042889501419971,1.069635525333773,1.099036410509785,1.051119328631447,1.057767237347933,1.042889501419971
9.838100128369703,1.066665611570567,1.068577498487932,1.084151838813284,1.050903224545179,1.084556207087232,1.096112347596064,1.068577498487932,1.084151838813284,1.050903224545179,1.084556207087232,1.096112347596064,1.068577498487932,1.084151838813284,1.050903224545179,1.084556207087232,1.096112347596064
9.84157894736842,1.06717151288947,1.064497988503441,1.066574699209716,1.08735261390754,0.988077821879124,1.107776737636729,1.064497988503441,1.066574699209716,1.08735261390754,0.988077821879124,1.107776737636729,1.064497988503441,1.066574699209716,1.08735261390754,0.988077821879124,1.107776737636729
9.845057766367136,1.067465886945422,1.062421811488959,1.083339228037627,1.043726594336303,1.0634060786941,1.093328531222348,1.062421811488959,1.083339228037627,1.043726594336303,1.0634060786941,1.093328531222348,1.062421811488959,1.083339228037627,1.043726594336303,1.0634060786941,1.093328531222348
9.848536585365853,1.068077368550655,1.078071142432497,1.048058654096772,0.9492014607863164,1.103959647824149,1.177631194285851,1.078071142432497,1.048058654096772,0.9492014607863164,1.103959647824149,1.177631194285851,1.078071142432497,1.048058654096772,0.9492014607863164,1.103959647824149,1.177631194285851
9.852015404364568,1.068458316036618,1.06421871518556,1.065878339882374,1.107638788952319,1.041739727843524,1.145770345474877,1.06421871518556,1.065878339882374,1.107638788952319,1.041739727843524,1.145770345474877,1.06421871518556,1.065878339882374,1.107638788952319,1.041739727843524,1.145770345474877
9.855494223363284,1.068738891781467,1.064916104132898,1.089890603435318,1.050922431644668,1.107488500862472,1.067119151823932,1.064916104132898,1.089890603435318,1.050922431644668,1.107488500862472,1.067119151823932,1.064916104132898,1.089890603435318,1.050922431644668,1.107488500862472,1.067119151823932
9.858973042362004,1.069408418551648,1.067924476751528,1.064545631455718,1.023789623884397,0.9536648018699884,0.9662982756164534,1.067924476751528,1.064545631455718,1.023789623884397,0.9536648018699884,0.9662982756164534,1.067924476751528,1.064545631455718,1.023789623884397,0.9536648018699884,0.9662982756164534
9.862451861360718,1.069860270452401,1.067074610484182,1.079393374805538,1.106998472056201,1.054920626474637,1.133380453689544,0.9945324001843237,1.079393374805538,1.106998472056201,1.054920626474637,1.133380453689544,0.8494479795846072,1.079393374805538,1.106998472056201,1.054920626474637,1.133380453689544
9.865930680359432,1.070201300814552,1.068420095446889,1.088258187007686,1.080131800190518,1.149151369720197,1.18904313578138,1.068420095446889,1.088258187007686,1.080131800190518,1.149151369720197,1.18904313578138,1.068420095446889,1.088258187007686,1.080131800190518,1.149151369720197,1.18904313578138
9.86940949935815,1.070777668399898,1.075065025347912,1.07734001563144,1.071388822678884,1.070076546314158,1.086974574964631,0.991269054337577,1.07734001563144,1.071388822678884,1.1875003271135007,1.086974574964631,0.8236771123169071,1.07734001563144,1.071388822678884,1.422347888712186,1.086974574964631
9.872888318356868,1.071177316636719,1.07584044771545,1.023940503796499,1.075778528178491,1.072585733697933,1.181685986865993,1.07584044771545,1.023940503796499,0.9991940340900053,1.072585733697933,1.181685986865993,1.07584044771545,1.023940503796499,0.8460250459130336,1.072585733697933,1.181685986865993
