# Times (days),True fluxes,Noisy fluxes A (sigma=0.01),Noisy fluxes B (sigma=0.03),Noisy fluxes C (sigma=0.05),Noisy fluxes D (sigma=0.07),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.1),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.1),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.1),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.1),Noisy fluxes A (sigma=0.01) with outliers (sigma=0.3),Noisy fluxes B (sigma=0.03) with outliers (sigma=0.3),Noisy fluxes C (sigma=0.05) with outliers (sigma=0.3),Noisy fluxes D (sigma=0.07) with outliers (sigma=0.3)
4.607094972067039,1.022159606513882,1.026699501137962,1.042474404799419,1.002424144160964,0.9842121866823106,1.026699501137962,1.042474404799419,1.002424144160964,1.0569246478848515,1.026699501137962,1.042474404799419,1.002424144160964,1.2023495702899338
4.610577281191807,1.019467717002363,1.028092245967719,1.073442950190178,1.031665763576767,1.180687111892748,1.028092245967719,1.073442950190178,1.031665763576767,1.180687111892748,1.028092245967719,1.073442950190178,1.031665763576767,1.180687111892748
4.614059590316574,1.016356220836047,1.021180448724412,1.004244241185057,1.017753539394882,1.023030144448456,1.021180448724412,1.004244241185057,1.017753539394882,1.023030144448456,1.021180448724412,1.004244241185057,1.017753539394882,1.023030144448456
4.617541899441341,1.013530121948147,1.017448642077206,1.05161962805132,1.004350821725413,0.8612651810752334,1.017448642077206,1.05161962805132,0.9527338276556451,0.8612651810752334,1.017448642077206,1.05161962805132,0.8494998395161094,0.8612651810752334
4.621024208566109,1.010565531374579,1.001555194901955,0.9952673932009332,0.9996209652006568,0.97495149021503,1.001555194901955,0.9952673932009332,0.9996209652006568,0.97495149021503,1.001555194901955,0.9952673932009332,0.9996209652006568,0.97495149021503
4.624506517690875,1.007517943767944,1.029379172655246,0.9665100878337806,1.004743407960152,1.106701055557336,1.029379172655246,0.9665100878337806,1.004743407960152,1.106701055557336,1.029379172655246,0.9665100878337806,1.004743407960152,1.106701055557336
4.627988826815643,1.004625675518908,1.012542052046644,0.9928287460791436,0.9906931973145578,1.025692931273449,1.012542052046644,0.9928287460791436,0.9906931973145578,1.025692931273449,1.012542052046644,0.9928287460791436,0.9906931973145578,1.025692931273449
4.63147113594041,1.00181800370878,1.004267191826985,1.014295255540478,1.049740291612471,0.9688950386507024,1.004267191826985,1.014295255540478,1.049740291612471,0.9688950386507024,1.004267191826985,1.014295255540478,1.049740291612471,0.9688950386507024
4.634953445065177,0.9987579214876868,1.005373691733408,0.9513752077350496,1.012853199565983,0.9764692174721906,1.005373691733408,0.9513752077350496,1.012853199565983,0.9764692174721906,1.005373691733408,0.9513752077350496,1.012853199565983,0.9764692174721906
4.638435754189945,0.996066101798772,0.9954278212507224,1.001492640945474,1.028661682343274,1.046102007473162,0.9954278212507224,1.001492640945474,1.028661682343274,1.046102007473162,0.9954278212507224,1.001492640945474,1.028661682343274,1.046102007473162
